site,area,city,district,state,region,lat,lon,ne_count
PBL,East,Jabalpur,Jabalpur,Madhya Pradesh,Central,23.174339,79.978817,1
PKA,Central,Shimla,Shimla,Himachal Pradesh,North,31.114683,77.171741,1
GVL,Gokulam,Mysuru,Mysuru,Karnataka,South,12.295313,76.653547,1
ICL,Central,Junagadh,Junagadh,Gujarat,West,21.531954,70.457561,1
UAP,Central,Karnal,Karnal,Haryana,North,29.694879,76.992468,1
STZ,North,Mathura,Mathura,Uttar Pradesh,North,27.49233,77.686784,1
KLN,North,Bhilai,Durg,Chhattisgarh,Central,21.192493,81.363896,1
ERG,East,Imphal,Imphal West,Manipur,Northeast,24.815823,93.926056,1
HWP,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.531379,87.311288,1
GLE,North,Bhilai,Durg,Chhattisgarh,Central,21.194174,81.363654,1
HSC,Patliputra,Patna,Patna,Bihar,East,25.603063,85.149603,1
XTR,Central,Korba,Korba,Chhattisgarh,Central,22.370292,82.749846,1
BFX,East,Bidar,Bidar,Karnataka,South,17.912739,77.521157,1
UCW,Central,Silchar,Cachar,Assam,Northeast,24.842758,92.779099,1
PEE,Central,Rajkot,Rajkot,Gujarat,West,22.315457,70.803324,1
NYG,DLF Phase 1,Gurgaon,Gurugram,Haryana,North,28.468418,77.039774,1
XTJ,South,Port Blair,Cuddalore,Tamil Nadu,South,11.728653,79.773012,1
STF,East,Shimla,Shimla,Himachal Pradesh,North,31.104429,77.161389,1
OYO,East,Raipur,Raipur,Chhattisgarh,Central,21.24181,81.621586,1
DGT,Rajarhat,Kolkata,Kolkata,West Bengal,East,22.579521,88.357185,1
DVW,North,Anantapur,Anantapur,Andhra Pradesh,South,14.683611,77.614501,1
FSM,East,Gangtok,East Sikkim,Sikkim,Northeast,27.338332,88.596137,1
MPV,Ballabgarh,Faridabad,Faridabad,Haryana,North,28.398517,77.316121,1
XAP,Karelibaug,Vadodara,Vadodara,Gujarat,West,22.294703,73.18039,1
ZIM,Gandhi Nagar,Vellore,Vellore,Tamil Nadu,South,12.917601,79.14674,1
ETP,Saraswathipuram,Mysuru,Mysuru,Karnataka,South,12.294132,76.630057,1
ZRR,East,Nanded,Nanded,Maharashtra,West,19.137551,77.309683,1
PYN,Central,Dhule,Dhule,Maharashtra,West,20.914198,74.77505,1
FEE,Kavi Nagar,Ghaziabad,Ghaziabad,Uttar Pradesh,North,28.677211,77.466705,1
YXC,South,Amritsar,Amritsar,Punjab,North,31.618642,74.884216,1
NDB,Cantonment,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,South,10.801475,78.704454,1
HLO,East,Ratnagiri,Ratnagiri,Maharashtra,West,16.994688,73.288171,1
MSH,Kalwa,Thane,Thane,Maharashtra,West,19.206749,72.978359,1
TRI,East,Satara,Satara,Maharashtra,West,17.682481,74.006359,1
SLC,South,Aurangabad,Aurangabad,Maharashtra,West,19.860112,75.354531,1
RPD,East,Udaipur,Udaipur,Rajasthan,North,24.585881,73.702048,1
XFR,Greater Noida,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,28.527218,77.406226,1
ICO,Kankarbagh,Patna,Patna,Bihar,East,25.585961,85.154631,1
VON,North,Rajahmundry,East Godavari,Andhra Pradesh,South,17.000037,81.819161,1
XWF,North,Belgaum,Belgaum,Karnataka,South,15.850337,74.51026,1
TRU,East,Ambattur,Tiruvallur,Tamil Nadu,South,13.096253,80.149897,1
WOU,Central,Kurnool,Kurnool,Andhra Pradesh,South,15.839149,78.036683,1
NJR,North,Agra,Agra,Uttar Pradesh,North,27.181365,78.023691,1
BIP,North,Sambalpur,Sambalpur,Odisha,East,21.465518,83.989246,1
BLE,East,Ahmednagar,Ahmednagar,Maharashtra,West,19.096597,74.737126,1
CHG,North,Solapur,Solapur,Maharashtra,West,17.660896,75.920765,1
FRM,South,Jalandhar,Jalandhar,Punjab,North,31.308282,75.575341,1
KSC,East,Junagadh,Junagadh,Gujarat,West,21.523523,70.448644,1
RDK,Town,Tirunelveli,Tirunelveli,Tamil Nadu,South,8.725109,77.758683,1
SZO,Central,Bhuj,Kutch,Gujarat,West,23.264175,69.67032,1
APC,Bhavani Road,Erode,Erode,Tamil Nadu,South,11.350418,77.718326,1
SWL,Central,Amravati,Amravati,Maharashtra,West,20.947311,77.778003,1
FLX,North,Kohima,Kohima,Nagaland,Northeast,25.676188,94.124101,1
MYB,South,Bikaner,Bikaner,Rajasthan,North,28.004729,73.312518,1
CMD,South,Bhiwandi,Thane,Maharashtra,West,19.282028,73.061945,1
CIL,North,Agra,Agra,Uttar Pradesh,North,27.179671,78.023728,1
SVS,AIR Bypass,Tirupati,Chittoor,Andhra Pradesh,South,13.638872,79.417391,1
SWK,South,Avadi,Tiruvallur,Tamil Nadu,South,13.09688,80.108359,1
OLI,East,Jamnagar,Jamnagar,Gujarat,West,22.471461,70.046157,1
SCO,North,Shahjahanpur,Shahjahanpur,Uttar Pradesh,North,27.882507,79.925444,1
SHP,Civil Lines,Nagpur,Nagpur,Maharashtra,West,21.134854,79.104522,1
ISL,Central,Bokaro Steel City,Bokaro,Jharkhand,East,23.681792,86.150376,1
VTS,HSR Layout,Bangalore,Bengaluru Urban,Karnataka,South,12.968365,77.603031,1
OUR,South,Bilaspur,Bilaspur,Chhattisgarh,Central,22.061252,82.139911,1
MNI,Kakkanad,Kochi,Ernakulam,Kerala,South,9.921701,76.282731,1
QDK,Central,Jalgaon,Jalgaon,Maharashtra,West,21.020435,75.563845,1
IJI,North,Silchar,Cachar,Assam,Northeast,24.833829,92.793524,1
ETM,East,Mira-Bhayandar,Thane,Maharashtra,West,19.296877,72.844668,1
KDT,Central,Kalyan,Thane,Maharashtra,West,19.255032,73.133711,1
YCD,North,Hubli,Dharwad,Karnataka,South,15.363306,75.139803,1
DVN,South,Rajkot,Rajkot,Gujarat,West,22.289232,70.811125,1
PHF,South,Loni,Ghaziabad,Uttar Pradesh,North,28.721769,77.28959,1
TAB,South,Asansol,Paschim Bardhaman,West Bengal,East,23.655366,86.950559,1
RHB,South,Firozabad,Firozabad,Uttar Pradesh,North,27.141058,78.396551,1
OGO,Central,Bilaspur,Bilaspur,Chhattisgarh,Central,22.091553,82.139692,1
GRS,Central,Durgapur,Paschim Bardhaman,West Bengal,East,23.532412,87.31013,1
PTN,South,Nashik,Nashik,Maharashtra,West,19.982187,73.799747,1
DFG,Belapur,Navi Mumbai,Thane,Maharashtra,West,19.039677,73.041709,1
FWL,Central,Kolhapur,Kolhapur,Maharashtra,West,16.71571,74.243457,1
WOB,North,Allahabad,Prayagraj,Uttar Pradesh,North,25.439634,81.86165,1
IGP,Central,Dhule,Dhule,Maharashtra,West,20.916501,74.773454,1
MSR,South,Yamunanagar,Yamunanagar,Haryana,North,30.110869,77.267309,1
SHJ,North,Aizawl,Aizawl,Mizoram,Northeast,23.726485,92.733865,1
TDF,North,Asansol,Paschim Bardhaman,West Bengal,East,23.672975,86.967957,1
SHE,North,Silchar,Cachar,Assam,Northeast,24.832456,92.791772,1
CKK,South,Amritsar,Amritsar,Punjab,North,31.618797,74.884876,1
XRP,West,Varanasi,Varanasi,Uttar Pradesh,North,25.322807,82.960209,1
NLP,Panvel,Navi Mumbai,Thane,Maharashtra,West,19.027046,73.0161,1
UBS,South,Dhule,Dhule,Maharashtra,West,20.884912,74.774011,1
DXT,South,Bhilai,Durg,Chhattisgarh,Central,21.174942,81.352469,1
CPG,North,Maheshtala,South 24 Parganas,West Bengal,East,22.512403,88.26349,1
OUL,North,Roorkee,Haridwar,Uttarakhand,North,29.852381,77.902334,1
MMN,Wagle Estate,Thane,Thane,Maharashtra,West,19.226504,72.964355,1
LPT,Central,Gwalior,Gwalior,Madhya Pradesh,Central,26.230076,78.184535,1
LSC,East,Patiala,Patiala,Punjab,North,30.340973,76.376756,1
BTR,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.502442,87.312071,1
OWL,North,Nadiad,Kheda,Gujarat,West,22.695512,72.877626,1
ZBZ,East,Dharamshala,Kangra,Himachal Pradesh,North,32.219556,76.312879,1
WPP,East,Siliguri,Darjeeling,West Bengal,East,26.727213,88.386355,1
ESD,East,Rohtak,Rohtak,Haryana,North,28.896794,76.595075,1
DFC,Central,Ahmednagar,Ahmednagar,Maharashtra,West,19.107543,74.748963,1
KAM,Arera Colony,Bhopal,Bhopal,Madhya Pradesh,Central,23.265578,77.423361,1
XIV,South,Ballari,Ballari,Karnataka,South,15.123305,76.922336,1
XIZ,Central,Kolhapur,Kolhapur,Maharashtra,West,16.716403,74.244494,1
PNC,Central,Ambala,Ambala,Haryana,North,30.387655,76.775832,1
BFC,Sector 18,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,28.545291,77.389322,1
NID,North,Varanasi,Varanasi,Uttar Pradesh,North,25.32149,82.987109,1
XOC,Central,Shahjahanpur,Shahjahanpur,Uttar Pradesh,North,27.892929,79.910391,1
MRI,Mahanagar,Lucknow,Lucknow,Uttar Pradesh,North,26.835359,80.931777,1
MZS,Central,Dehradun,Dehradun,Uttarakhand,North,30.328028,78.030529,1
HAZ,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.502877,87.310612,1
RAI,North,Jodhpur,Jodhpur,Rajasthan,North,26.24343,73.036491,1
BXT,North,Hubli,Dharwad,Karnataka,South,15.36613,75.137504,1
HVO,North,Jamnagar,Jamnagar,Gujarat,West,22.471143,70.070856,1
JHR,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.521127,87.324685,1
LTB,West,Gwalior,Gwalior,Madhya Pradesh,Central,26.221867,78.169091,1
HHT,East,Panipat,Panipat,Haryana,North,29.38929,76.951026,1
BTU,Saibaba Colony,Coimbatore,Coimbatore,Tamil Nadu,South,11.02274,76.966538,1
NSZ,Central,Nadiad,Kheda,Gujarat,West,22.703987,72.864813,1
SXV,East,Latur,Latur,Maharashtra,West,18.408456,76.549416,1
MHY,South,Ambattur,Tiruvallur,Tamil Nadu,South,13.081805,80.160653,1
FIO,Khandagiri,Bhubaneswar,Khordha,Odisha,East,20.304936,85.836624,1
AXX,East,Warangal,Warangal Urban,Telangana,South,17.969741,79.58288,1
LOF,South,Kohima,Kohima,Nagaland,Northeast,25.656209,94.10805,1
DJM,North,Bilaspur,Bilaspur,Chhattisgarh,Central,22.080843,82.154884,1
WDJ,Central,Belgaum,Belgaum,Karnataka,South,15.861464,74.497978,1
SGP,East,Aizawl,Aizawl,Mizoram,Northeast,23.725533,92.704974,1
KCF,North,Dhanbad,Dhanbad,Jharkhand,East,23.799757,86.443123,1
XEG,Kalwa,Thane,Thane,Maharashtra,West,19.209429,72.980016,1
FBK,North,Kakinada,East Godavari,Andhra Pradesh,South,16.987916,82.263146,1
MCC,City Light,Surat,Surat,Gujarat,West,21.160132,72.846384,1
RKS,East,Malegaon,Nashik,Maharashtra,West,20.559031,74.518608,1
AGO,North,Panaji,North Goa,Goa,West,15.489462,73.84387,1
MRO,North,Tinsukia,Tinsukia,Assam,Northeast,27.489066,95.373759,1
TRF,Central,Tinsukia,Tinsukia,Assam,Northeast,27.49734,95.362327,1
HVR,Central,Silchar,Cachar,Assam,Northeast,24.846044,92.77938,1
MGH,North,Dehradun,Dehradun,Uttarakhand,North,30.322411,78.047165,1
OBN,Cantonment,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,South,10.802711,78.702842,1
ETO,North,Maheshtala,South 24 Parganas,West Bengal,East,22.508745,88.262068,1
ROJ,North,Kohima,Kohima,Nagaland,Northeast,25.673222,94.122318,1
VFC,East,Nadiad,Kheda,Gujarat,West,22.692786,72.852204,1
ALT,South,Dhule,Dhule,Maharashtra,West,20.885908,74.774864,1
IVA,East,Agartala,West Tripura,Tripura,Northeast,23.831614,91.274788,1
MMG,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.521886,87.324425,1
WIW,TT Nagar,Bhopal,Bhopal,Madhya Pradesh,Central,23.251414,77.428273,1
CDC,North,Ajmer,Ajmer,Rajasthan,North,26.451889,74.652511,1
DAI,Lalpur,Ranchi,Ranchi,Jharkhand,East,23.356864,85.309092,1
EAV,North,Tiruvottiyur,Tiruvallur,Tamil Nadu,South,13.16349,80.318228,1
TLI,West,Dhanbad,Dhanbad,Jharkhand,East,23.799446,86.417108,1
DTP,Central,Kurnool,Kurnool,Andhra Pradesh,South,15.840363,78.036517,1
ILI,North,Mathura,Mathura,Uttar Pradesh,North,27.49065,77.688342,1
VEH,South,Ahmednagar,Ahmednagar,Maharashtra,West,19.07559,74.74976,1
DJV,Indirapuram,Ghaziabad,Ghaziabad,Uttar Pradesh,North,28.681877,77.451903,1
SIG,Malad,Mumbai,Mumbai,Maharashtra,West,19.085403,72.87274,1
NYS,North,Muzaffarpur,Muzaffarpur,Bihar,East,26.119148,85.377994,1
QUN,East,Aligarh,Aligarh,Uttar Pradesh,North,27.897844,78.076816,1
NYI,East,Jalandhar,Jalandhar,Punjab,North,31.327536,75.566302,1
WUW,North,Moradabad,Moradabad,Uttar Pradesh,North,28.840614,78.79008,1
CHX,South,Gwalior,Gwalior,Madhya Pradesh,Central,26.205565,78.193159,1
EMK,East,Jalandhar,Jalandhar,Punjab,North,31.327574,75.567019,1
CUS,North,Bathinda,Bathinda,Punjab,North,30.212257,74.958467,1
FRN,Tirunagar,Madurai,Madurai,Tamil Nadu,South,9.933363,78.104207,1
XLL,East,Mira-Bhayandar,Thane,Maharashtra,West,19.293354,72.845357,1
NOL,East,Tinsukia,Tinsukia,Assam,Northeast,27.487373,95.35116,1
OPN,Kharghar,Navi Mumbai,Thane,Maharashtra,West,19.022463,73.028038,1
NYU,Central,Mysore,Mysuru,Karnataka,South,12.308248,76.640855,1
NMO,North,Dhule,Dhule,Maharashtra,West,20.904998,74.790541,1
ZAH,South,Bilaspur,Bilaspur,Chhattisgarh,Central,22.060915,82.139037,1
RWW,Central,Hisar,Hisar,Haryana,North,29.161527,75.721246,1
VYS,East,Mathura,Mathura,Uttar Pradesh,North,27.493845,77.664282,1
PCF,Hasthampatti,Salem,Salem,Tamil Nadu,South,11.662679,78.161857,1
CTW,East,Brahmapur,Ganjam,Odisha,East,19.313204,84.781738,1
BTT,Akota,Vadodara,Vadodara,Gujarat,West,22.300607,73.169141,1
IOA,North,Nellore,Nellore,Andhra Pradesh,South,14.441492,80.001219,1
EZP,South,Maheshtala,South 24 Parganas,West Bengal,East,22.491817,88.249595,1
JTY,Central,Gorakhpur,Gorakhpur,Uttar Pradesh,North,26.772228,83.373357,1
DUB,North,Ambattur,Tiruvallur,Tamil Nadu,South,13.098309,80.176399,1
BOB,Central,Jodhpur,Jodhpur,Rajasthan,North,26.25124,73.022657,1
NDQ,South,Solapur,Solapur,Maharashtra,West,17.64304,75.908389,1
IOP,Khandagiri,Bhubaneswar,Khordha,Odisha,East,20.303643,85.837261,1
CBK,East,Junagadh,Junagadh,Gujarat,West,21.521353,70.447794,1
TYW,North,Gaya,Gaya,Bihar,East,24.792773,85.013259,1
POV,North,Amritsar,Amritsar,Punjab,North,31.636518,74.886089,1
TAO,Central,Dehradun,Dehradun,Uttarakhand,North,30.32884,78.033,1
SBH,Juhu,Mumbai,Mumbai,Maharashtra,West,19.082329,72.8586,1
OLQ,Gandhi Nagar,Vellore,Vellore,Tamil Nadu,South,12.915295,79.146432,1
FDQ,North,Panipat,Panipat,Haryana,North,29.39155,76.977463,1
SEM,North,Ajmer,Ajmer,Rajasthan,North,26.449981,74.655595,1
EQI,North,Ahmednagar,Ahmednagar,Maharashtra,West,19.096442,74.764169,1
TEX,East,Maheshtala,South 24 Parganas,West Bengal,East,22.510122,88.236895,1
VPI,East,Hisar,Hisar,Haryana,North,29.150537,75.710718,1
KGN,South,Nanded,Nanded,Maharashtra,West,19.120605,77.321536,1
LHV,Central,Agartala,West Tripura,Tripura,Northeast,23.84303,91.285411,1
GEE,South,Bidar,Bidar,Karnataka,South,17.893937,77.52958,1
NUZ,South,Bathinda,Bathinda,Punjab,North,30.194844,74.94403,1
DLB,Central,Anantapur,Anantapur,Andhra Pradesh,South,14.693809,77.60034,1
DCP,South,Ballari,Ballari,Karnataka,South,15.123128,76.921357,1
WOT,South,Warangal,Warangal Urban,Telangana,South,17.952286,79.592375,1
IJN,Vannarpet,Tirunelveli,Tirunelveli,Tamil Nadu,South,8.715402,77.746039,1
HAM,South,Shahjahanpur,Shahjahanpur,Uttar Pradesh,North,27.864108,79.909934,1
GIP,South,Loni,Ghaziabad,Uttar Pradesh,North,28.721152,77.29052,1
MOU,Central,Nellore,Nellore,Andhra Pradesh,South,14.455133,79.984728,1
FFR,Central,Akbarpur,Ambedkar Nagar,Uttar Pradesh,North,26.439219,82.537515,1
KUW,North,Ambattur,Tiruvallur,Tamil Nadu,South,13.098796,80.174916,1
UNS,Ganapathy,Coimbatore,Coimbatore,Tamil Nadu,South,11.027099,76.940134,1
DYL,North,Bokaro Steel City,Bokaro,Jharkhand,East,23.670245,86.165956,1
SSX,East,Gaya,Gaya,Bihar,East,24.792692,84.990848,1
ANT,East,Kakinada,East Godavari,Andhra Pradesh,South,16.990141,82.237653,1
JBM,Crawford,Tiruchirappalli,Tiruchirappalli,Tamil Nadu,South,10.792262,78.693364,1
OXE,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.500874,87.311852,1
SAF,Edappally,Kochi,Ernakulam,Kerala,South,9.919948,76.266359,1
MXI,South,Bidar,Bidar,Karnataka,South,17.896126,77.531012,1
OGS,South,Maheshtala,South 24 Parganas,West Bengal,East,22.493413,88.246889,1
SFM,South,Shillong,East Khasi Hills,Meghalaya,Northeast,25.560922,91.89512,1
URC,Central,Jalgaon,Jalgaon,Maharashtra,West,21.018362,75.56381,1
NRF,West,Amritsar,Amritsar,Punjab,North,31.639706,74.859327,1
FAN,East,Akbarpur,Ambedkar Nagar,Uttar Pradesh,North,26.428649,82.528451,1
XFT,South,Maheshtala,South 24 Parganas,West Bengal,East,22.494085,88.247303,1
WOE,South,Imphal,Imphal West,Manipur,Northeast,24.797348,93.93505,1
PHQ,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.502413,87.311728,1
MLA,South,Jhansi,Jhansi,Uttar Pradesh,North,25.430402,78.568359,1
DJR,East,Bikaner,Bikaner,Rajasthan,North,28.02106,73.302247,1
TZP,North,Varanasi,Varanasi,Uttar Pradesh,North,25.32316,82.988787,1
TMM,North,Amritsar,Amritsar,Punjab,North,31.638062,74.886563,1
JHW,North,Durgapur,Paschim Bardhaman,West Bengal,East,23.522113,87.326826,1
FPC,Mangalam Road,Tiruppur,Tiruppur,Tamil Nadu,South,11.107653,77.353729,1
AEZ,Central,Kolhapur,Kolhapur,Maharashtra,West,16.714779,74.244621,1
TTC,Central,Imphal,Imphal West,Manipur,Northeast,24.828081,93.936859,1
LES,East,Durgapur,Paschim Bardhaman,West Bengal,East,23.519814,87.301892,1
DDR,South,Bilaspur,Bilaspur,Chhattisgarh,Central,22.060218,82.138644,1
WSP,Central,Aizawl,Aizawl,Mizoram,Northeast,23.73625,92.717593,1
LLT,South,Loni,Ghaziabad,Uttar Pradesh,North,28.722968,77.289912,1
AEX,Korlagunta,Tirupati,Chittoor,Andhra Pradesh,South,13.611054,79.420669,1
XKZ,Rajwada,Indore,Indore,Madhya Pradesh,Central,22.710233,75.857768,1
AHF,Goripalayam,Madurai,Madurai,Tamil Nadu,South,9.914877,78.133936,1
MMF,Pearl City,Thoothukudi,Thoothukudi,Tamil Nadu,South,8.77409,78.133694,1
KPT,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.501106,87.313417,1
TZU,East,Jammu,Jammu,Jammu and Kashmir,North,32.72632,74.847357,1
GMK,East,Maheshtala,South 24 Parganas,West Bengal,East,22.510618,88.237892,1
SHA,East,Mathura,Mathura,Uttar Pradesh,North,27.493841,77.663735,1
AOI,East,Ulhasnagar,Thane,Maharashtra,West,19.219798,73.155543,1
LCH,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.501025,87.310151,1
SOI,South,Muzaffarpur,Muzaffarpur,Bihar,East,26.103622,85.366672,1
IKC,East,Asansol,Paschim Bardhaman,West Bengal,East,23.673792,86.941537,1
FFI,Saraswathipuram,Mysuru,Mysuru,Karnataka,South,12.296744,76.630068,1
BKW,South,Gaya,Gaya,Bihar,East,24.771993,84.998231,1
PID,Central,Tinsukia,Tinsukia,Assam,Northeast,27.501187,95.359958,1
SYN,Central,Hisar,Hisar,Haryana,North,29.161024,75.722181,1
BPR,Central,Nellore,Nellore,Andhra Pradesh,South,14.453505,79.986587,1
PGP,East,Maheshtala,South 24 Parganas,West Bengal,East,22.511406,88.237485,1
TIA,Central,Kadapa,YSR Kadapa,Andhra Pradesh,South,14.479376,78.824009,1
TDT,East,Ratnagiri,Ratnagiri,Maharashtra,West,16.992971,73.289065,1
RND,Central,Cuttack,Cuttack,Odisha,East,20.472746,85.884436,1
WMV,Central,Kozhikode,Kozhikode,Kerala,South,11.269169,75.779864,1
CPK,North,Aligarh,Aligarh,Uttar Pradesh,North,27.898608,78.101998,1
RUW,Central,Shillong,East Khasi Hills,Meghalaya,Northeast,25.591306,91.894929,1
SJD,Central,Ratnagiri,Ratnagiri,Maharashtra,West,17.004598,73.30152,1
PVC,South,Davanagere,Davanagere,Karnataka,South,14.444807,75.921476,1
FCP,Palasia,Indore,Indore,Madhya Pradesh,Central,22.72665,75.870881,1
NMI,East,Margao,South Goa,Goa,West,15.281639,73.976979,1
FNC,Sector 62,Noida,Gautam Buddha Nagar,Uttar Pradesh,North,28.540803,77.403384,1
HPC,North,Nadiad,Kheda,Gujarat,West,22.693713,72.878108,1
BNS,North,Bhilai,Durg,Chhattisgarh,Central,21.193017,81.366942,1
CGS,Central,Gulbarga,Kalaburagi,Karnataka,South,17.34002,76.836214,1
MQX,East,Yamunanagar,Yamunanagar,Haryana,North,30.127731,77.25729,1
HEE,Kadri,Mangalore,Dakshina Kannada,Karnataka,South,12.922051,74.868859,1
DEF,West,Amritsar,Amritsar,Punjab,North,31.637005,74.857954,1
BXM,South,Anantapur,Anantapur,Andhra Pradesh,South,14.663529,77.600334,1
DOW,North,Dhule,Dhule,Maharashtra,West,20.903442,74.790618,1
EPS,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.501981,87.309981,1
FIW,Central,Sambalpur,Sambalpur,Odisha,East,21.476249,83.973844,1
MOX,East,Ujjain,Ujjain,Madhya Pradesh,Central,23.176137,75.77951,1
NNY,South,Kurnool,Kurnool,Andhra Pradesh,South,15.808651,78.03873,1
NCH,South,Udaipur,Udaipur,Rajasthan,North,24.568102,73.712484,1
BRL,South,Agartala,West Tripura,Tripura,Northeast,23.814382,91.286061,1
LDO,Bejai,Mangalore,Dakshina Kannada,Karnataka,South,12.903622,74.870842,1
HUA,Central,Agartala,West Tripura,Tripura,Northeast,23.841901,91.288474,1
HTS,Gokulam,Mysuru,Mysuru,Karnataka,South,12.295521,76.654106,1
XAJ,North,Gangtok,East Sikkim,Sikkim,Northeast,27.338351,88.622693,1
FGW,Central,Warangal,Warangal Urban,Telangana,South,17.977738,79.594869,1
BCX,Varachha,Surat,Surat,Gujarat,West,21.178508,72.816669,1
LPD,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.502697,87.312293,1
ROP,East,Firozabad,Firozabad,Uttar Pradesh,North,27.159679,78.386802,1
FLB,Geeta Bhawan,Indore,Indore,Madhya Pradesh,Central,22.711466,75.843667,1
DJA,Goregaon,Mumbai,Mumbai,Maharashtra,West,19.07335,72.865,1
NGE,North,Meerut,Meerut,Uttar Pradesh,North,28.988789,77.721352,1
STB,North,Agartala,West Tripura,Tripura,Northeast,23.831983,91.302551,1
FPS,Central,Gandhinagar,Gandhinagar,Gujarat,West,23.227186,72.636603,1
INF,Six Mile,Guwahati,Kamrup Metro,Assam,Northeast,26.132336,91.736001,1
COP,Mahal,Nagpur,Nagpur,Maharashtra,West,21.137165,79.073836,1
YGO,North,Siliguri,Darjeeling,West Bengal,East,26.727042,88.410318,1
DTU,South,Jammu,Jammu,Jammu and Kashmir,North,32.708168,74.855922,1
TJA,Six Mile,Guwahati,Kamrup Metro,Assam,Northeast,26.135456,91.736543,1
KTA,North,Panipat,Panipat,Haryana,North,29.390302,76.976773,1
BRC,West,Allahabad,Prayagraj,Uttar Pradesh,North,25.439884,81.83417,1
NIW,South,Junagadh,Junagadh,Gujarat,West,21.503428,70.457095,1
SKX,South,Aizawl,Aizawl,Mizoram,Northeast,23.708103,92.719308,1
DRI,Baner,Pune,Pune,Maharashtra,West,18.527834,73.871913,1
SHG,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.501143,87.311996,1
GXS,South,Loni,Ghaziabad,Uttar Pradesh,North,28.722212,77.290273,1
TNL,Central,Brahmapur,Ganjam,Odisha,East,19.324778,84.79234,1
RCF,Central,Warangal,Warangal Urban,Telangana,South,17.98032,79.592513,1
AMA,East,Ballari,Ballari,Karnataka,South,15.139485,76.91127,1
NYF,Vaishali Nagar,Jaipur,Jaipur,Rajasthan,North,26.905681,75.795712,1
RHA,Hasthampatti,Salem,Salem,Tamil Nadu,South,11.663794,78.160834,1
GAI,Naupada,Thane,Thane,Maharashtra,West,19.227499,72.990405,1
MWM,Central,Ratnagiri,Ratnagiri,Maharashtra,West,17.005739,73.298544,1
LWH,Central,Aizawl,Aizawl,Mizoram,Northeast,23.739513,92.716053,1
XAU,Central,Rourkela,Sundargarh,Odisha,East,22.269859,84.855417,1
ABZ,North,Agartala,West Tripura,Tripura,Northeast,23.832193,91.302951,1
MLK,Aluva,Kochi,Ernakulam,Kerala,South,9.941921,76.252918,1
HTG,Central,Bokaro Steel City,Bokaro,Jharkhand,East,23.678661,86.151575,1
VPD,Central,Maheshtala,South 24 Parganas,West Bengal,East,22.52001,88.248129,1
SPM,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.500508,87.312492,1
NTG,North,Kanpur,Kanpur Nagar,Uttar Pradesh,North,26.453989,80.34501,1
CMB,East,Malegaon,Nashik,Maharashtra,West,20.559779,74.517021,1
IWQ,North,Imphal,Imphal West,Manipur,Northeast,24.816711,93.952986,1
IZS,North,Dhule,Dhule,Maharashtra,West,20.90265,74.788039,1
WWJ,North,Agartala,West Tripura,Tripura,Northeast,23.833241,91.301268,1
GNT,West,Jodhpur,Jodhpur,Rajasthan,North,26.244213,73.012389,1
OUP,South,Durgapur,Paschim Bardhaman,West Bengal,East,23.503657,87.311315,1
AFC,East,Karnal,Karnal,Haryana,North,29.683767,76.978525,1
ETT,North,Warangal,Warangal Urban,Telangana,South,17.970307,79.608552,1
HRW,South,Bokaro Steel City,Bokaro,Jharkhand,East,23.650657,86.150909,1
CTT,North,Yamunanagar,Yamunanagar,Haryana,North,30.130197,77.280434,1
SVA,East,Ajmer,Ajmer,Rajasthan,North,26.448448,74.629011,1
DCR,Old Town,Bhubaneswar,Khordha,Odisha,East,20.287658,85.812945,1
INW,East,Bhilai,Durg,Chhattisgarh,Central,21.19324,81.33923,1
LNI,South,Akola,Akola,Maharashtra,West,20.680316,77.008213,1
VPM,North,Karnal,Karnal,Haryana,North,29.684383,77.003724,1
EHC,Central,Ulhasnagar,Thane,Maharashtra,West,19.23037,73.166394,1
SOQ,Pan Bazar,Guwahati,Kamrup Metro,Assam,Northeast,26.156153,91.735154,1
VPV,South,Avadi,Tiruvallur,Tamil Nadu,South,13.097193,80.111735,1
DRW,South,Gandhinagar,Gandhinagar,Gujarat,West,23.201475,72.64798,1
ZNT,South,Maheshtala,South 24 Parganas,West Bengal,East,22.49214,88.248359,1
NYZ,East,Amritsar,Amritsar,Punjab,North,31.624808,74.866499,1
WRI,East,Nadiad,Kheda,Gujarat,West,22.695626,72.850756,1
LVI,South,Mathura,Mathura,Uttar Pradesh,North,27.472619,77.672632,1
